Region,investment,type,entity,theme,name,description
S METRO,116000000,School Education ,Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
N AND W METRO,116000000,School Education ,Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
BARWON SW,116000000,School Education ,Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
HUME,116000000,School Education ,Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
N AND W METRO,450000000,Non-Government Schools Capital Fund,Education,Education,"Kolbe College, new campus (Mickleham)","Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria."
GRAMPIANS,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Creswick-Clunes."
S METRO,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Dandenong."
GIPPSLAND,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Foster."
N AND W METRO,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Glenroy."
LODDON MALLEE,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Loddon."
HUME,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Numurkah."
BARWON SW,991000000,Early Learning Centres,Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portarlington."
GIPPSLAND,"100,000,000",Energy and Resources,Energy & Climate Action,Clean Energy,Doing what matters for local communities – renewable energy ,Funding is provided to deliver renewable energy solutions in Benambra to support the local community with access to clean and local energy alternatives.
GRAMPIANS,720000000,Environment and Biodiversity,Energy & Climate Action,Environment and Parkland,"Protecting our parks, pets and wildlife – animal welfare ",Funding is provided for a package of wildlife welfare and conservation programs.
N AND W METRO,7400000,Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,Delivering better parks and playgrounds,"Funding is provided for upgrades at the following parks, open spaces and facilities."
S METRO,7400000,Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,Delivering better parks and playgrounds,"Funding is provided for upgrades at the following parks, open spaces and facilities."
BARWON SW,13400000,Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
N AND W METRO,13400000,Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
S METRO,13400000,Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
E METRO,13400000,Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
HUME,"700,000",Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,Doing what matters for local communities – environment,Funding is provided to the Kiewa Catchment Landcare Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
BARWON SW,"700,000",Management of Public Land and Forests,Energy & Climate Action,Environment and Parkland,Doing what matters for local communities – environment,Funding is provided to support the Southern Otway Landcare Network Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
GIPPSLAND,32000000,Admitted Services,Health,Health,Hospital Infrastructure Delivery Fund ,"Funding is provided to boost capacity, improve infrastructure and ensure Victorians receive the highest quality health care. This includes the new hospital in West Gippsland."
BARWON SW,30400000,Ambulance Emergency Services; Ambulance Non-Emergency Services,Health,Health,A new ambulance station for Armstrong Creek,Funding is provided for a new ambulance station in Armstrong Creek to improve ambulance response times and better support paramedics in the City of Greater Geelong and surrounding regions.
LODDON MALLEE,6000000,Regional Development,"Jobs, Skills, Industry and Regions",Regional Investment,Bendigo Regional Employment Precinct,Funding is provided to support the delivery of planning works and build enabling infrastructure in the Bendigo Regional Employment Precinct.
BARWON SW,"200,000",Regional Development,"Jobs, Skills, Industry and Regions",Regional Investment,Doing what matters for local communities – regions,Funding is provided to upgrade St Leonards Progress Association Hall and the continuation and maintenance of the Warrnambool Community Garden.
HUME,10000000,Sustainably Managed Fish and Boating Resources,"Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Arcadia Hatchery.
HUME,5000000,Sustainably Managed Fish and Boating Resources,"Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Snobs Creek Hatchery.
GIPPSLAND,20000000,Sustainably Managed Fish and Boating Resources,"Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Lakes Entance Oyster Farm.
N AND W METRO,170000000,"Training, Higher Education and Workforce Development","Jobs, Skills, Industry and Regions",Education,Building Better TAFE Fund,"Funding is provided for the Building Better TAFE Fund to improve lifelong education pathways, including a new TAFE campus in Sunbury."
S METRO,34200000,Emergency Management Capability,Justice and Community Safety,Emergency Services,Delivering emergency services upgrades,Funding is provided for additional works at the Frankston VICSES satellite facility at Skye.
BARWON SW,34200000,Emergency Management Capability,Justice and Community Safety,Emergency Services,Delivering emergency services upgrades,"Funding is provided to support emergency services, this includes purchasing a new marine rescue vessel for Queenscliff"
